Price,Close,High,Low,Open,Volume
Ticker,^JKSE,^JKSE,^JKSE,^JKSE,^JKSE
Date,,,,,
1990-04-06,641.2440185546875,641.2440185546875,641.2440185546875,641.2440185546875,0
1990-04-09,633.4573364257812,633.4573364257812,633.4573364257812,633.4573364257812,0
1990-04-10,632.0613403320312,632.0613403320312,632.0613403320312,632.0613403320312,0
1990-04-11,634.6682739257812,634.6682739257812,634.6682739257812,634.6682739257812,0
1990-04-12,639.589111328125,639.589111328125,639.589111328125,639.589111328125,0
1990-04-16,639.9890747070312,639.9890747070312,639.9890747070312,639.9890747070312,0
1990-04-17,641.8479614257812,641.8479614257812,641.8479614257812,641.8479614257812,0
1990-04-18,640.5031127929688,640.5031127929688,640.5031127929688,640.5031127929688,0
1990-04-19,643.8809814453125,643.8809814453125,643.8809814453125,643.8809814453125,0
1990-04-20,641.6610107421875,641.6610107421875,641.6610107421875,641.6610107421875,0
1990-04-23,643.8849487304688,643.8849487304688,643.8849487304688,643.8849487304688,0
1990-04-24,638.7730712890625,638.7730712890625,638.7730712890625,638.7730712890625,0
1990-05-01,638.985107421875,638.985107421875,638.985107421875,638.985107421875,0
1990-05-02,636.1292724609375,636.1292724609375,636.1292724609375,636.1292724609375,0
1990-05-03,642.1349487304688,642.1349487304688,642.1349487304688,642.1349487304688,0
1990-05-04,643.0689697265625,643.0689697265625,643.0689697265625,643.0689697265625,0
1990-05-07,641.9209594726562,641.9209594726562,641.9209594726562,641.9209594726562,0
1990-05-08,642.958984375,642.958984375,642.958984375,642.958984375,0
1990-05-09,644.9869384765625,644.9869384765625,644.9869384765625,644.9869384765625,0
1990-05-11,643.2869873046875,643.2869873046875,643.2869873046875,643.2869873046875,0
1990-05-14,638.8970947265625,638.8970947265625,638.8970947265625,638.8970947265625,0
1990-05-15,640.830078125,640.830078125,640.830078125,640.830078125,0
1990-05-16,639.3120727539062,639.3120727539062,639.3120727539062,639.3120727539062,0
1990-05-17,644.4158935546875,644.4158935546875,644.4158935546875,644.4158935546875,0
1990-05-21,647.1907958984375,647.1907958984375,647.1907958984375,647.1907958984375,0
1990-05-22,647.3757934570312,647.3757934570312,647.3757934570312,647.3757934570312,0
1990-05-23,646.2218017578125,646.2218017578125,646.2218017578125,646.2218017578125,0
1990-05-25,647.3347778320312,647.3347778320312,647.3347778320312,647.3347778320312,0
1990-05-28,640.1051025390625,640.1051025390625,640.1051025390625,640.1051025390625,0
1990-05-29,641.1151123046875,641.1151123046875,641.1151123046875,641.1151123046875,0
1990-05-30,640.5551147460938,640.5551147460938,640.5551147460938,640.5551147460938,0
1990-05-31,636.3753051757812,636.3753051757812,636.3753051757812,636.3753051757812,0
1990-06-01,634.9953002929688,634.9953002929688,634.9953002929688,634.9953002929688,0
1990-06-04,636.2152709960938,636.2152709960938,636.2152709960938,636.2152709960938,0
1990-06-05,637.0552368164062,637.0552368164062,637.0552368164062,637.0552368164062,0
1990-06-06,636.6172485351562,636.6172485351562,636.6172485351562,636.6172485351562,0
1990-06-07,635.9752807617188,635.9752807617188,635.9752807617188,635.9752807617188,0
1990-06-08,636.0352783203125,636.0352783203125,636.0352783203125,636.0352783203125,0
1990-06-11,634.7352905273438,634.7352905273438,634.7352905273438,634.7352905273438,0
1990-06-12,634.3953247070312,634.3953247070312,634.3953247070312,634.3953247070312,0
1990-06-13,631.3554077148438,631.3554077148438,631.3554077148438,631.3554077148438,0
1990-06-14,630.2755126953125,630.2755126953125,630.2755126953125,630.2755126953125,0
1990-06-15,628.2555541992188,628.2555541992188,628.2555541992188,628.2555541992188,0
1990-06-18,626.8756713867188,626.8756713867188,626.8756713867188,626.8756713867188,0
1990-06-19,621.7658081054688,621.7658081054688,621.7658081054688,621.7658081054688,0
1990-06-20,622.40576171875,622.40576171875,622.40576171875,622.40576171875,0
1990-06-21,622.9557495117188,622.9557495117188,622.9557495117188,622.9557495117188,0
1990-06-22,623.9257202148438,623.9257202148438,623.9257202148438,623.9257202148438,0
1990-06-25,626.1156616210938,626.1156616210938,626.1156616210938,626.1156616210938,0
1990-06-26,623.7357177734375,623.7357177734375,623.7357177734375,623.7357177734375,0
1990-06-27,627.0755615234375,627.0755615234375,627.0755615234375,627.0755615234375,0
1990-06-28,626.7356567382812,626.7356567382812,626.7356567382812,626.7356567382812,0
1990-06-29,624.295654296875,624.295654296875,624.295654296875,624.295654296875,0
1990-07-02,629.41552734375,629.41552734375,629.41552734375,629.41552734375,0
1990-07-03,629.675537109375,629.675537109375,629.675537109375,629.675537109375,0
1990-07-04,629.6835327148438,629.6835327148438,629.6835327148438,629.6835327148438,0
1990-07-05,627.3984985351562,627.3984985351562,627.3984985351562,627.3984985351562,0
1990-07-06,626.78662109375,626.78662109375,626.78662109375,626.78662109375,0
1990-07-09,623.2737426757812,623.2737426757812,623.2737426757812,623.2737426757812,0
1990-07-10,624.57666015625,624.57666015625,624.57666015625,624.57666015625,0
1990-07-11,627.4445190429688,627.4445190429688,627.4445190429688,627.4445190429688,0
1990-07-12,627.9445190429688,627.9445190429688,627.9445190429688,627.9445190429688,0
1990-07-13,629.9965209960938,629.9965209960938,629.9965209960938,629.9965209960938,0
1990-07-16,630.7095336914062,630.7095336914062,630.7095336914062,630.7095336914062,0
1990-07-17,629.5065307617188,629.5065307617188,629.5065307617188,629.5065307617188,0
1990-07-18,631.1453857421875,631.1453857421875,631.1453857421875,631.1453857421875,0
1990-07-19,629.4485473632812,629.4485473632812,629.4485473632812,629.4485473632812,0
1990-07-20,630.071533203125,630.071533203125,630.071533203125,630.071533203125,0
1990-07-24,625.8816528320312,625.8816528320312,625.8816528320312,625.8816528320312,0
1990-07-25,627.935546875,627.935546875,627.935546875,627.935546875,0
1990-07-26,625.9756469726562,625.9756469726562,625.9756469726562,625.9756469726562,0
1990-07-27,624.0626831054688,624.0626831054688,624.0626831054688,624.0626831054688,0
1990-07-30,619.6378784179688,619.6378784179688,619.6378784179688,619.6378784179688,0
1990-07-31,614.382080078125,614.382080078125,614.382080078125,614.382080078125,0
1990-08-01,611.9572143554688,611.9572143554688,611.9572143554688,611.9572143554688,0
1990-08-02,612.1981811523438,612.1981811523438,612.1981811523438,612.1981811523438,0
1990-08-03,613.4700927734375,613.4700927734375,613.4700927734375,613.4700927734375,0
1990-08-06,607.6023559570312,607.6023559570312,607.6023559570312,607.6023559570312,0
1990-08-07,603.1005859375,603.1005859375,603.1005859375,603.1005859375,0
1990-08-08,595.9118041992188,595.9118041992188,595.9118041992188,595.9118041992188,0
1990-08-09,593.449951171875,593.449951171875,593.449951171875,593.449951171875,0
1990-08-10,591.9459228515625,591.9459228515625,591.9459228515625,591.9459228515625,0
1990-08-13,589.988037109375,589.988037109375,589.988037109375,589.988037109375,0
1990-08-14,587.3110961914062,587.3110961914062,587.3110961914062,587.3110961914062,0
1990-08-15,584.13330078125,584.13330078125,584.13330078125,584.13330078125,0
1990-08-16,585.127197265625,585.127197265625,585.127197265625,585.127197265625,0
1990-08-20,583.4483032226562,583.4483032226562,583.4483032226562,583.4483032226562,0
1990-08-21,577.4545288085938,577.4545288085938,577.4545288085938,577.4545288085938,0
1990-08-22,573.275634765625,573.275634765625,573.275634765625,573.275634765625,0
1990-08-23,563.4680786132812,563.4680786132812,563.4680786132812,563.4680786132812,0
1990-08-24,551.760498046875,551.760498046875,551.760498046875,551.760498046875,0
1990-08-27,546.8087158203125,546.8087158203125,546.8087158203125,546.8087158203125,0
1990-08-28,556.3153686523438,556.3153686523438,556.3153686523438,556.3153686523438,0
1990-08-30,559.3612060546875,559.3612060546875,559.3612060546875,559.3612060546875,0
1990-08-31,570.997802734375,570.997802734375,570.997802734375,570.997802734375,0
1990-09-03,567.3848876953125,567.3848876953125,567.3848876953125,567.3848876953125,0
1990-09-04,562.3140869140625,562.3140869140625,562.3140869140625,562.3140869140625,0
1990-09-05,557.0363159179688,557.0363159179688,557.0363159179688,557.0363159179688,0
1990-09-06,557.1253051757812,557.1253051757812,557.1253051757812,557.1253051757812,0
1990-09-07,546.5777587890625,546.5777587890625,546.5777587890625,546.5777587890625,0
1990-09-11,541.8489379882812,541.8489379882812,541.8489379882812,541.8489379882812,0
1990-09-12,539.3699951171875,539.3699951171875,539.3699951171875,539.3699951171875,0
1990-09-13,530.40234375,530.40234375,530.40234375,530.40234375,0
1990-09-14,529.099365234375,529.099365234375,529.099365234375,529.099365234375,0
1990-09-17,523.0936889648438,523.0936889648438,523.0936889648438,523.0936889648438,0
1990-09-18,515.1239013671875,515.1239013671875,515.1239013671875,515.1239013671875,0
1990-09-19,507.05224609375,507.05224609375,507.05224609375,507.05224609375,0
1990-09-20,500.6705017089844,500.6705017089844,500.6705017089844,500.6705017089844,0
1990-09-21,500.279541015625,500.279541015625,500.279541015625,500.279541015625,0
1990-09-24,493.9167785644531,493.9167785644531,493.9167785644531,493.9167785644531,0
1990-09-25,477.3594055175781,477.3594055175781,477.3594055175781,477.3594055175781,0
1990-09-26,464.2348937988281,464.2348937988281,464.2348937988281,464.2348937988281,0
1990-09-27,454.4942626953125,454.4942626953125,454.4942626953125,454.4942626953125,0
1990-09-28,468.49078369140625,468.49078369140625,468.49078369140625,468.49078369140625,0
1990-10-01,468.4817810058594,468.4817810058594,468.4817810058594,468.4817810058594,0
1990-10-02,460.56207275390625,460.56207275390625,460.56207275390625,460.56207275390625,0
1990-10-03,456.8832092285156,456.8832092285156,456.8832092285156,456.8832092285156,0
1990-10-04,452.59735107421875,452.59735107421875,452.59735107421875,452.59735107421875,0
1990-10-05,450.0404968261719,450.0404968261719,450.0404968261719,450.0404968261719,0
1990-10-08,446.3236389160156,446.3236389160156,446.3236389160156,446.3236389160156,0
1990-10-09,441.748779296875,441.748779296875,441.748779296875,441.748779296875,0
1990-10-10,433.4831237792969,433.4831237792969,433.4831237792969,433.4831237792969,0
1990-10-11,428.5433349609375,428.5433349609375,428.5433349609375,428.5433349609375,0
1990-10-12,425.38043212890625,425.38043212890625,425.38043212890625,425.38043212890625,0
